vessel_client,customer,date_plugged,time_plugged,container_number,operation_type,shipping_line,plugged_status,tonnage,set_point,date_out,location,days_on_plug,plugin_price,monitoring_price,electricity_unit_price,total_electricity,total
DRENNEC,IOT,2024-01-03,11:59:00.000000000,TTNU8204610,Stuffing and Plugin,IOT,Full,26.93,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
DRENNEC,IOT,2024-01-03,10:30:00.000000000,TTNU8204966,Stuffing and Plugin,IOT,Full,26.83,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
DRENNEC,IOT,2024-01-03,11:59:00.000000000,TTNU8336350,Stuffing and Plugin,IOT,Full,26.97,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
IOT,IOT EXPORT,2024-01-04,11:46:00.000000000,CGMU5414475,CCCS Stuffing and Plugin,CMA CGM,Full,26.115,-25,2024-01-11,LML,8,25.0,30.0,70.0,560.0,615.0
IOT,IOT EXPORT,2024-01-04,16:00:00.000000000,CGMU6526926,CCCS Stuffing and Plugin,CMA CGM,Full,25.429,-25,2024-01-11,LML,8,25.0,30.0,70.0,560.0,615.0
DRACO,MAERSKLINE,2024-01-04,12:15:00.000000000,MNBU0365276,Cross Stuffing and Plugin,MAERSKLINE,Full,26.96,-25,2024-01-31,LML,28,25.0,30.0,70.0,1960.0,2015.0
GLENAN,IOT,2024-01-04,10:32:00.000000000,TCLU1221339,Stuffing and Plugin,IOT,Full,26.94,-25,2024-01-27,IOT,24,25.0,30.0,70.0,1680.0,1735.0
GLENAN,IOT,2024-01-04,15:14:00.000000000,TRIU8033045,Stuffing and Plugin,IOT,Full,26.73,-25,2024-01-27,IOT,24,25.0,30.0,70.0,1680.0,1735.0
GLENAN,IOT,2024-01-04,17:20:00.000000000,TRIU8068294,Stuffing and Plugin,IOT,Full,9.69,-25,2024-01-27,IOT,24,25.0,30.0,70.0,1680.0,1735.0
GLENAN,IOT,2024-01-04,12:20:00.000000000,TTNU8034880,Stuffing and Plugin,IOT,Full,26.72,-25,2024-01-27,IOT,24,25.0,30.0,70.0,1680.0,1735.0
GLENAN,IOT,2024-01-04,11:53:00.000000000,TTNU8202710,Stuffing and Plugin,IOT,Full,27.0,-25,2024-01-27,IOT,24,25.0,30.0,70.0,1680.0,1735.0
GLENAN,IOT,2024-01-04,10:32:00.000000000,TTNU8204170,Stuffing and Plugin,IOT,Full,26.89,-25,2024-01-27,IOT,24,25.0,30.0,70.0,1680.0,1735.0
GLENAN,IOT,2024-01-04,15:42:00.000000000,TTNU8204441,Stuffing and Plugin,IOT,Full,26.93,-25,2024-01-27,IOT,24,25.0,30.0,70.0,1680.0,1735.0
GLENAN,IOT,2024-01-04,11:53:00.000000000,TTNU8281643,Stuffing and Plugin,IOT,Full,26.96,-25,2024-01-27,IOT,24,25.0,30.0,70.0,1680.0,1735.0
GLENAN,IOT,2024-01-04,15:07:00.000000000,TTNU8338116,Stuffing and Plugin,IOT,Full,27.01,-25,2024-01-27,IOT,24,25.0,30.0,70.0,1680.0,1735.0
ISLAND CATCH,ISLAND CATCH,2024-01-05,15:52:00.000000000,MMAU1196464,CCCS Stuffing and Plugin,MAERSKLINE,Full,21.189,-25,2024-01-09,LML,5,25.0,30.0,70.0,350.0,405.0
ISLAND CATCH,ISLAND CATCH,2024-01-05,12:07:00.000000000,MNBU0245157,CCCS Stuffing and Plugin,MAERSKLINE,Full,27.693,-25,2024-01-09,LML,5,25.0,30.0,70.0,350.0,405.0
ISLAND CATCH,ISLAND CATCH,2024-01-05,17:20:00.000000000,MNBU3690562,CCCS Stuffing and Plugin,MAERSKLINE,Partial,12.035,-25,2024-01-06,For Completion,1,25.0,0.0,70.0,70.0,95.0
